Point,Corner,Lx,vb,vd,vg,Pass/Fail,capbd,capbs,cdd,cgb,cgd,cgdo,cgg,cgs,cgso,css,gds,gm,gmbs,id,vth,vb,vd,vg,nid,sfl,l
23,nom,350e-9,0,0,2.2,,-8.883e-15,-8.472e-15,15.05e-15,-552.7e-18,-3.923e-15,957.2e-18,8.57e-15,-4.094e-15,957.2e-18,14.47e-15,601.6e-6,0,0,0,-730.6e-3,-0,0,-2.2,9.67e-24,0,350e-9
24,nom,350e-9,0,0,2.3,,-8.883e-15,-8.472e-15,15.05e-15,-552.3e-18,-3.92e-15,957.3e-18,8.569e-15,-4.097e-15,957.3e-18,14.47e-15,628.2e-6,0,0,0,-730.6e-3,-0,0,-2.3,10.08e-24,0,350e-9
25,nom,350e-9,0,0,2.4,,-8.883e-15,-8.473e-15,15.05e-15,-551.9e-18,-3.917e-15,957.3e-18,8.569e-15,-4.1e-15,957.3e-18,14.48e-15,653.2e-6,0,0,0,-730.6e-3,-0,0,-2.4,10.47e-24,0,350e-9
26,nom,350e-9,0,0,2.5,,-8.883e-15,-8.473e-15,15.06e-15,-551.6e-18,-3.915e-15,957.3e-18,8.568e-15,-4.102e-15,957.3e-18,14.48e-15,676.9e-6,0,0,0,-730.6e-3,-0,0,-2.5,10.84e-24,0,350e-9
27,nom,350e-9,0,0,2.6,,-8.883e-15,-8.473e-15,15.06e-15,-551.3e-18,-3.913e-15,957.3e-18,8.568e-15,-4.104e-15,957.3e-18,14.49e-15,699.2e-6,0,0,0,-730.6e-3,-0,0,-2.6,11.18e-24,0,350e-9
28,nom,350e-9,0,0,2.7,,-8.883e-15,-8.473e-15,15.06e-15,-551e-18,-3.91e-15,957.3e-18,8.568e-15,-4.106e-15,957.3e-18,14.49e-15,720.2e-6,0,0,0,-730.6e-3,-0,0,-2.7,11.51e-24,0,350e-9
29,nom,350e-9,0,100e-3,0,,-7.742e-15,-8.125e-15,8.586e-15,-2.476e-15,-844.5e-18,844.5e-18,4.211e-15,-890.5e-18,890.3e-18,9.015e-15,4.32e-15,74.89e-15,20.33e-15,-2.673e-15,-728.2e-3,-0,-100e-3,-0,1.1e-33,4.505e-39,350e-9
30,nom,350e-9,0,100e-3,100e-3,,-7.742e-15,-8.125e-15,8.632e-15,-2.309e-15,-890.3e-18,890.3e-18,4.122e-15,-922.4e-18,922.3e-18,9.047e-15,69.73e-15,1.238e-12,327.2e-15,-44.13e-15,-728.2e-3,-0,-100e-3,-100e-3,18.07e-33,1.231e-36,350e-9
31,nom,350e-9,0,100e-3,200e-3,,-7.742e-15,-8.125e-15,8.664e-15,-2.172e-15,-922.3e-18,922.3e-18,4.034e-15,-939.6e-18,939.5e-18,9.065e-15,1.124e-12,20.44e-12,5.256e-12,-728.9e-15,-728.2e-3,-0,-100e-3,-200e-3,296.3e-33,336e-36,350e-9
32,nom,350e-9,0,100e-3,300e-3,,-7.742e-15,-8.125e-15,8.681e-15,-2.057e-15,-939.5e-18,939.5e-18,3.944e-15,-948e-18,947.9e-18,9.073e-15,18.01e-12,335.5e-12,83.89e-12,-12e-12,-728.2e-3,-0,-100e-3,-300e-3,4.834e-30,91e-33,350e-9
33,nom,350e-9,0,100e-3,400e-3,,-7.742e-15,-8.125e-15,8.689e-15,-1.958e-15,-947.8e-18,947.9e-18,3.858e-15,-952.4e-18,951.9e-18,9.077e-15,283.6e-12,5.392e-9,1.31e-9,-194.6e-12,-728.2e-3,-0,-100e-3,-400e-3,77.19e-30,23.94e-30,350e-9
34,nom,350e-9,0,100e-3,500e-3,,-7.742e-15,-8.128e-15,8.694e-15,-1.872e-15,-951.9e-18,951.9e-18,3.784e-15,-960.2e-18,954e-18,9.088e-15,4.19e-9,80.14e-9,18.92e-9,-2.993e-9,-728.2e-3,-0,-100e-3,-500e-3,1.141e-27,5.636e-27,350e-9
35,nom,350e-9,0,100e-3,600e-3,,-7.743e-15,-8.176e-15,8.698e-15,-1.779e-15,-953.3e-18,954e-18,3.788e-15,-1.056e-15,955.2e-18,9.228e-15,53.29e-9,967.4e-9,222.5e-9,-39.39e-9,-728.2e-3,-0,-100e-3,-600e-3,13.74e-27,929e-27,350e-9
36,nom,350e-9,0,100e-3,700e-3,,-7.757e-15,-8.691e-15,8.735e-15,-1.51e-15,-954.7e-18,955.2e-18,4.618e-15,-2.152e-15,955.9e-18,10.8e-15,644e-9,8.423e-6,1.905e-6,-395.6e-9,-728.2e-3,-0,-100e-3,-700e-3,121.2e-27,73.56e-24,350e-9
37,nom,350e-9,0,100e-3,800e-3,,-7.903e-15,-9.701e-15,9.297e-15,-997.8e-18,-1.248e-15,955.9e-18,6.69e-15,-4.444e-15,956.3e-18,13.87e-15,9.172e-6,33.51e-6,7.554e-6,-2.395e-6,-728.2e-3,-0,-100e-3,-800e-3,593.4e-27,1.628e-21,350e-9
38,nom,350e-9,0,100e-3,900e-3,,-8.236e-15,-9.875e-15,11.26e-15,-711e-18,-2.413e-15,956.3e-18,7.926e-15,-4.802e-15,956.6e-18,14.51e-15,44.65e-6,48.48e-6,11.09e-6,-6.666e-6,-728.2e-3,-0,-100e-3,-900e-3,1.427e-24,8.268e-21,350e-9
39,nom,350e-9,0,100e-3,1,,-8.372e-15,-9.854e-15,12.48e-15,-618.6e-18,-3.138e-15,956.6e-18,8.332e-15,-4.576e-15,956.7e-18,14.69e-15,92.22e-6,49.91e-6,11.67e-6,-11.63e-6,-728.2e-3,-0,-100e-3,-1,2.232e-24,20.42e-21,350e-9
40,nom,350e-9,0,100e-3,1.1,,-8.414e-15,-9.832e-15,13.03e-15,-589.6e-18,-3.461e-15,956.7e-18,8.456e-15,-4.405e-15,956.9e-18,14.79e-15,140.7e-6,48.23e-6,11.54e-6,-16.52e-6,-728.2e-3,-0,-100e-3,-1.1,2.994e-24,36.96e-21,350e-9
41,nom,350e-9,0,100e-3,1.2,,-8.431e-15,-9.818e-15,13.31e-15,-577.1e-18,-3.632e-15,956.9e-18,8.505e-15,-4.296e-15,957e-18,14.86e-15,187.9e-6,46.12e-6,11.29e-6,-21.22e-6,-728.2e-3,-0,-100e-3,-1.2,3.723e-24,57.11e-21,350e-9
42,nom,350e-9,0,100e-3,1.3,,-8.439e-15,-9.809e-15,13.49e-15,-570.4e-18,-3.736e-15,957e-18,8.529e-15,-4.222e-15,957e-18,14.9e-15,233.2e-6,43.99e-6,11.01e-6,-25.69e-6,-728.2e-3,-0,-100e-3,-1.3,4.419e-24,80.28e-21,350e-9
43,nom,350e-9,0,100e-3,1.4,,-8.443e-15,-9.802e-15,13.6e-15,-566.2e-18,-3.805e-15,957e-18,8.542e-15,-4.17e-15,957.1e-18,14.93e-15,276.6e-6,41.89e-6,10.73e-6,-29.96e-6,-728.3e-3,-0,-100e-3,-1.4,5.082e-24,106e-21,350e-9
44,nom,350e-9,0,100e-3,1.5,,-8.446e-15,-9.797e-15,13.69e-15,-563.3e-18,-3.855e-15,957.1e-18,8.55e-15,-4.131e-15,957.1e-18,14.95e-15,318.1e-6,39.85e-6,10.44e-6,-34.01e-6,-728.3e-3,-0,-100e-3,-1.5,5.712e-24,133.9e-21,350e-9
45,nom,350e-9,0,100e-3,1.6,,-8.448e-15,-9.793e-15,13.75e-15,-561.3e-18,-3.892e-15,957.1e-18,8.554e-15,-4.101e-15,957.2e-18,14.96e-15,357.7e-6,37.86e-6,10.15e-6,-37.86e-6,-728.3e-3,-0,-100e-3,-1.6,6.311e-24,163.5e-21,350e-9
46,nom,350e-9,0,100e-3,1.7,,-8.449e-15,-9.79e-15,13.8e-15,-559.7e-18,-3.92e-15,957.2e-18,8.557e-15,-4.078e-15,957.2e-18,14.98e-15,395.3e-6,35.94e-6,9.865e-6,-41.51e-6,-728.3e-3,-0,-100e-3,-1.7,6.878e-24,194.4e-21,350e-9
47,nom,350e-9,0,100e-3,1.8,,-8.45e-15,-9.788e-15,13.83e-15,-558.4e-18,-3.943e-15,957.2e-18,8.56e-15,-4.058e-15,957.2e-18,14.99e-15,431.1e-6,34.09e-6,9.584e-6,-44.97e-6,-728.3e-3,-0,-100e-3,-1.8,7.416e-24,226.4e-21,350e-9
48,nom,350e-9,0,100e-3,1.9,,-8.45e-15,-9.786e-15,13.87e-15,-557.3e-18,-3.962e-15,957.2e-18,8.561e-15,-4.042e-15,957.2e-18,15e-15,465.2e-6,32.31e-6,9.307e-6,-48.25e-6,-728.3e-3,-0,-100e-3,-1.9,7.924e-24,259.2e-21,350e-9
49,nom,350e-9,0,100e-3,2,,-8.451e-15,-9.784e-15,13.89e-15,-556.5e-18,-3.977e-15,957.2e-18,8.562e-15,-4.028e-15,957.2e-18,15e-15,497.5e-6,30.59e-6,9.036e-6,-51.36e-6,-728.3e-3,-0,-100e-3,-2,8.406e-24,292.5e-21,350e-9
50,nom,350e-9,0,100e-3,2.1,,-8.451e-15,-9.783e-15,13.91e-15,-555.8e-18,-3.99e-15,957.2e-18,8.563e-15,-4.017e-15,957.2e-18,15.01e-15,528.1e-6,28.95e-6,8.77e-6,-54.29e-6,-728.4e-3,-0,-100e-3,-2.1,8.86e-24,326.1e-21,350e-9
51,nom,350e-9,0,100e-3,2.2,,-8.451e-15,-9.781e-15,13.93e-15,-555.1e-18,-4.001e-15,957.2e-18,8.563e-15,-4.007e-15,957.2e-18,15.02e-15,557.1e-6,27.37e-6,8.511e-6,-57.07e-6,-728.4e-3,-0,-100e-3,-2.2,9.29e-24,359.8e-21,350e-9
52,nom,350e-9,0,100e-3,2.3,,-8.452e-15,-9.78e-15,13.95e-15,-554.6e-18,-4.011e-15,957.2e-18,8.564e-15,-3.998e-15,957.3e-18,15.02e-15,584.6e-6,25.87e-6,8.258e-6,-59.69e-6,-728.4e-3,-0,-100e-3,-2.3,9.695e-24,393.4e-21,350e-9
53,nom,350e-9,0,100e-3,2.4,,-8.452e-15,-9.779e-15,13.96e-15,-554.1e-18,-4.02e-15,957.3e-18,8.564e-15,-3.99e-15,957.3e-18,15.02e-15,610.6e-6,24.43e-6,8.011e-6,-62.17e-6,-728.4e-3,-0,-100e-3,-2.4,10.08e-24,426.7e-21,350e-9
54,nom,350e-9,0,100e-3,2.5,,-8.452e-15,-9.778e-15,13.98e-15,-553.7e-18,-4.027e-15,957.3e-18,8.564e-15,-3.983e-15,957.3e-18,15.03e-15,635.2e-6,23.05e-6,7.771e-6,-64.5e-6,-728.4e-3,-0,-100e-3,-2.5,10.44e-24,459.7e-21,350e-9
55,nom,350e-9,0,100e-3,2.6,,-8.452e-15,-9.778e-15,13.99e-15,-553.4e-18,-4.034e-15,957.3e-18,8.564e-15,-3.977e-15,957.3e-18,15.03e-15,658.5e-6,21.74e-6,7.538e-6,-66.7e-6,-728.4e-3,-0,-100e-3,-2.6,10.78e-24,492.2e-21,350e-9
56,nom,350e-9,0,100e-3,2.7,,-8.452e-15,-9.777e-15,14e-15,-553.1e-18,-4.039e-15,957.3e-18,8.564e-15,-3.972e-15,957.3e-18,15.03e-15,680.4e-6,20.48e-6,7.311e-6,-68.78e-6,-728.4e-3,-0,-100e-3,-2.7,11.1e-24,524.1e-21,350e-9
57,nom,350e-9,0,200e-3,0,,-7.407e-15,-8.125e-15,8.203e-15,-2.476e-15,-796.2e-18,796.2e-18,4.163e-15,-890.5e-18,890.3e-18,9.015e-15,3.392e-15,84.75e-15,22.94e-15,-3.029e-15,-725.7e-3,-0,-200e-3,-0,1.228e-33,5.956e-39,350e-9
58,nom,350e-9,0,200e-3,100e-3,,-7.407e-15,-8.125e-15,8.251e-15,-2.309e-15,-844.5e-18,844.5e-18,4.076e-15,-922.4e-18,922.3e-18,9.047e-15,53.97e-15,1.396e-12,367.9e-15,-49.83e-15,-725.7e-3,-0,-200e-3,-100e-3,20.08e-33,1.616e-36,350e-9
59,nom,350e-9,0,200e-3,200e-3,,-7.407e-15,-8.125e-15,8.297e-15,-2.172e-15,-890.3e-18,890.3e-18,4.002e-15,-939.6e-18,939.5e-18,9.065e-15,856.4e-15,22.95e-12,5.888e-12,-819.8e-15,-725.7e-3,-0,-200e-3,-200e-3,328.1e-33,437.4e-36,350e-9
60,nom,350e-9,0,200e-3,300e-3,,-7.407e-15,-8.125e-15,8.329e-15,-2.057e-15,-922.3e-18,922.3e-18,3.927e-15,-948e-18,947.9e-18,9.073e-15,13.5e-12,375.3e-12,93.63e-12,-13.44e-12,-725.7e-3,-0,-200e-3,-300e-3,5.331e-30,117.5e-33,350e-9
61,nom,350e-9,0,200e-3,400e-3,,-7.407e-15,-8.125e-15,8.346e-15,-1.958e-15,-939.5e-18,939.5e-18,3.85e-15,-952.4e-18,951.9e-18,9.078e-15,208.3e-12,6.002e-9,1.455e-9,-217e-12,-725.7e-3,-0,-200e-3,-400e-3,84.71e-30,30.64e-30,350e-9
62,nom,350e-9,0,200e-3,500e-3,,-7.407e-15,-8.128e-15,8.355e-15,-1.872e-15,-947.7e-18,947.9e-18,3.78e-15,-960.7e-18,954e-18,9.089e-15,2.986e-9,88.61e-9,20.89e-9,-3.318e-9,-725.7e-3,-0,-200e-3,-500e-3,1.243e-27,7.13e-27,350e-9
63,nom,350e-9,0,200e-3,600e-3,,-7.407e-15,-8.179e-15,8.359e-15,-1.778e-15,-949.9e-18,951.9e-18,3.79e-15,-1.062e-15,955.2e-18,9.24e-15,35.41e-9,1.062e-6,244e-9,-43.34e-9,-725.7e-3,-0,-200e-3,-600e-3,14.82e-27,1.16e-24,350e-9
64,nom,350e-9,0,200e-3,700e-3,,-7.412e-15,-8.717e-15,8.368e-15,-1.507e-15,-933.3e-18,954e-18,4.634e-15,-2.194e-15,955.9e-18,10.89e-15,322.7e-9,9.321e-6,2.106e-6,-435.4e-9,-725.7e-3,-0,-200e-3,-700e-3,129.8e-27,94.79e-24,350e-9
