Point,Corner,Lx,vb,vd,vg,Pass/Fail,capbd,capbs,cdd,cgb,cgd,cgdo,cgg,cgs,cgso,css,gds,gm,gmbs,id,vth,vb,vd,vg,nid,sfl,l
23,nom,350e-9,0,0,2.2,,-6.107e-15,-5.639e-15,13.15e-15,-39.18e-18,-4.344e-15,1.212e-15,8.846e-15,-4.463e-15,1.212e-15,12.75e-15,2.404e-3,0,0,-0,564.6e-3,0,0,2.2,37.3e-24,0,350e-9
24,nom,350e-9,0,0,2.3,,-6.107e-15,-5.638e-15,13.16e-15,-38.74e-18,-4.347e-15,1.212e-15,8.846e-15,-4.46e-15,1.212e-15,12.75e-15,2.493e-3,0,0,-0,564.6e-3,0,0,2.3,38.59e-24,0,350e-9
25,nom,350e-9,0,0,2.4,,-6.107e-15,-5.637e-15,13.17e-15,-38.34e-18,-4.35e-15,1.212e-15,8.845e-15,-4.457e-15,1.212e-15,12.75e-15,2.577e-3,0,0,-0,564.6e-3,0,0,2.4,39.79e-24,0,350e-9
26,nom,350e-9,0,0,2.5,,-6.107e-15,-5.636e-15,13.17e-15,-37.98e-18,-4.352e-15,1.212e-15,8.845e-15,-4.455e-15,1.212e-15,12.75e-15,2.655e-3,0,0,-0,564.6e-3,0,0,2.5,40.91e-24,0,350e-9
27,nom,350e-9,0,0,2.6,,-6.107e-15,-5.635e-15,13.18e-15,-37.65e-18,-4.355e-15,1.212e-15,8.845e-15,-4.452e-15,1.212e-15,12.75e-15,2.729e-3,0,0,-0,564.6e-3,0,0,2.6,41.96e-24,0,350e-9
28,nom,350e-9,0,0,2.7,,-6.107e-15,-5.634e-15,13.18e-15,-37.36e-18,-4.357e-15,1.212e-15,8.844e-15,-4.45e-15,1.212e-15,12.75e-15,2.798e-3,0,0,-0,564.6e-3,0,0,2.7,42.95e-24,0,350e-9
29,nom,350e-9,0,100e-3,0,,-5.033e-15,-5.245e-15,6.111e-15,-1.88e-15,-1.078e-15,1.078e-15,4.091e-15,-1.132e-15,1.132e-15,6.377e-15,137e-15,4.119e-12,1.225e-12,132.3e-15,564.6e-3,0,100e-3,0,60.56e-33,259.4e-36,350e-9
30,nom,350e-9,0,100e-3,100e-3,,-5.033e-15,-5.245e-15,6.165e-15,-1.768e-15,-1.132e-15,1.132e-15,4.071e-15,-1.17e-15,1.17e-15,6.415e-15,3.08e-12,92.61e-12,26.91e-12,2.976e-12,564.6e-3,0,100e-3,100e-3,1.355e-30,131.4e-33,350e-9
31,nom,350e-9,0,100e-3,200e-3,,-5.033e-15,-5.245e-15,6.203e-15,-1.674e-15,-1.17e-15,1.17e-15,4.035e-15,-1.191e-15,1.191e-15,6.436e-15,68.81e-12,2.064e-9,585.9e-12,66.57e-12,564.6e-3,0,100e-3,200e-3,30.05e-30,65.74e-30,350e-9
32,nom,350e-9,0,100e-3,300e-3,,-5.033e-15,-5.245e-15,6.224e-15,-1.593e-15,-1.191e-15,1.191e-15,3.986e-15,-1.202e-15,1.201e-15,6.447e-15,1.497e-9,44.23e-9,12.26e-9,1.45e-9,564.6e-3,0,100e-3,300e-3,640.7e-30,31.17e-27,350e-9
33,nom,350e-9,0,100e-3,400e-3,,-5.033e-15,-5.251e-15,6.234e-15,-1.518e-15,-1.201e-15,1.201e-15,3.95e-15,-1.232e-15,1.205e-15,6.482e-15,29.41e-9,812.5e-9,219.9e-9,28.37e-9,564.6e-3,0,100e-3,400e-3,11.73e-27,11.73e-24,350e-9
34,nom,350e-9,0,100e-3,500e-3,,-5.038e-15,-5.36e-15,6.248e-15,-1.347e-15,-1.21e-15,1.205e-15,4.3e-15,-1.744e-15,1.208e-15,7.089e-15,471.7e-9,10.43e-6,2.767e-6,417.9e-9,564.6e-3,0,100e-3,500e-3,151e-27,2.133e-21,350e-9
35,nom,350e-9,0,100e-3,600e-3,,-5.101e-15,-5.952e-15,6.427e-15,-667.6e-18,-1.293e-15,1.208e-15,6.615e-15,-4.655e-15,1.209e-15,10.47e-15,7.232e-6,70.94e-6,18.59e-6,3.83e-6,564.6e-3,0,100e-3,600e-3,1.068e-24,95.6e-21,350e-9
36,nom,350e-9,0,100e-3,700e-3,,-5.35e-15,-6.129e-15,7.733e-15,-302.5e-18,-1.904e-15,1.209e-15,7.902e-15,-5.695e-15,1.21e-15,11.76e-15,68.13e-6,157.9e-6,41.22e-6,15.67e-6,564.6e-3,0,100e-3,700e-3,3.243e-24,684.7e-21,350e-9
